cell,invariant,before,after,residual,scaled_residual
676,mom_x,1.107038686126285085138e-06,1.107038686126285085138e-06,0.000000000000000000000e+00,0.00000000000000000e+00
676,mom_y,-1.111926060567563495026e-09,-1.111926060567563495026e-09,0.000000000000000000000e+00,0.00000000000000000e+00
676,mom_z,-2.637739036721419355100e-13,-2.637739036721419355100e-13,0.000000000000000000000e+00,0.00000000000000000e+00
676,energy,4.116742272908390252789e-05,4.116742272908390252789e-05,0.000000000000000000000e+00,0.00000000000000000e+00
676,mass_d,2.443418133904324877607e-12,2.443418133904324877607e-12,0.000000000000000000000e+00,0.00000000000000000e+00
676,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
677,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
677,mom_x,7.422969968733139228495e-07,7.422969968733139228495e-07,0.000000000000000000000e+00,0.00000000000000000e+00
677,mom_y,-7.563592669343880172211e-10,-7.563592669343880172211e-10,0.000000000000000000000e+00,0.00000000000000000e+00
677,mom_z,-1.460686688077447864109e-13,-1.460686688077447864109e-13,0.000000000000000000000e+00,0.00000000000000000e+00
677,energy,2.776418297448924913068e-05,2.776418297448924913068e-05,0.000000000000000000000e+00,0.00000000000000000e+00
677,mass_d,1.845621204833120445832e-12,1.845621204833120445832e-12,0.000000000000000000000e+00,0.00000000000000000e+00
677,mass_T,3.600000000000000091203e-05,3.600000000000000091203e-05,0.000000000000000000000e+00,0.00000000000000000e+00
678,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
678,mom_x,7.483382118814561660298e-07,7.483382118814561660298e-07,0.000000000000000000000e+00,0.00000000000000000e+00
678,mom_y,-6.579053410888155439187e-10,-6.579053410888155439187e-10,0.000000000000000000000e+00,0.00000000000000000e+00
678,mom_z,-1.699820845962232704875e-13,-1.699820845962232704875e-13,0.000000000000000000000e+00,0.00000000000000000e+00
678,energy,2.821160001432391266850e-05,2.821160001432391266850e-05,0.000000000000000000000e+00,0.00000000000000000e+00
678,mass_d,1.878358942362560509015e-12,1.878358942362560509015e-12,0.000000000000000000000e+00,0.00000000000000000e+00
678,mass_T,3.600000000000000091203e-05,3.600000000000000091203e-05,0.000000000000000000000e+00,0.00000000000000000e+00
679,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
679,mom_x,7.578040533185994335355e-07,7.578040533185994335355e-07,0.000000000000000000000e+00,0.00000000000000000e+00
679,mom_y,-6.272486027373285705001e-10,-6.272486027373285705001e-10,0.000000000000000000000e+00,0.00000000000000000e+00
679,mom_z,-2.682037132792724265181e-13,-2.682037132792724265181e-13,0.000000000000000000000e+00,0.00000000000000000e+00
679,energy,2.891493034027363512556e-05,2.891493034027363512556e-05,0.000000000000000000000e+00,0.00000000000000000e+00
679,mass_d,1.159162582790498234681e-12,1.159162582790498234681e-12,0.000000000000000000000e+00,0.00000000000000000e+00
679,mass_T,3.600000000000000091203e-05,3.600000000000000091203e-05,0.000000000000000000000e+00,0.00000000000000000e+00
680,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
680,mom_x,7.651263188892288006260e-07,7.651263188892288006260e-07,0.000000000000000000000e+00,0.00000000000000000e+00
