state,time_s,field,relative_l2_vs_L0
S1,0.035,T,3.4960834040397843e-15
S1,0.035,U,5.4473503490298456e-12
S1,0.035,epsilonS,2.0794770650962638e-16
S1,0.035,Us,4.3578683273426407e-10
S1,0.035,theta,5.7653825874892665e-09
S1,0.0375,rho,7.030611198835586e-15
S1,0.0375,p,9.522662083827557e-15
S1,0.0375,T,3.923607298152044e-15
S1,0.0375,U,6.09509825326228e-12
S1,0.0375,epsilonS,2.0889484728725298e-16
S1,0.0375,Us,4.5544845433773626e-10
S1,0.0375,theta,5.90452182679896e-09
S1,0.04,rho,7.365750720547709e-15
S1,0.04,p,1.0084470115853859e-14
S1,0.04,T,3.96781757065155e-15
S1,0.04,U,6.772646686432664e-12
S1,0.04,epsilonS,2.0891395395077736e-16
S1,0.04,Us,4.715668591408857e-10
S1,0.04,theta,6.109592075565739e-09
S1,0.0425,rho,7.840394168228387e-15
S1,0.0425,p,1.0665611250688467e-14
S1,0.0425,T,4.323869999532456e-15
S1,0.0425,U,7.44874141910738e-12
S1,0.0425,epsilonS,2.0882179835348728e-16
S1,0.0425,Us,4.848716078253862e-10
S1,0.0425,theta,6.187372849292645e-09
S1,0.045,rho,8.268923063814228e-15
S1,0.045,p,1.1326887165258232e-14
S1,0.045,T,4.4270042716779446e-15
S1,0.045,U,8.159213815314882e-12
S1,0.045,epsilonS,2.087208998744976e-16
S1,0.045,Us,5.012906919562078e-10
S1,0.045,theta,6.3850872336116374e-09
S1,0.0475,rho,8.635061617890451e-15
S1,0.0475,p,1.1934608973476775e-14
S1,0.0475,T,4.707471995951786e-15
S1,0.0475,U,8.866528009344042e-12
S1,0.0475,epsilonS,2.093301206761193e-16
S1,0.0475,Us,5.161068197319962e-10
S1,0.0475,theta,6.57775745160569e-09
S1,0.05,rho,9.156525058189799e-15
S1,0.05,p,1.253818484274119e-14
S1,0.05,T,4.8575611919611175e-15
S1,0.05,U,9.579137132304332e-12
S1,0.05,epsilonS,2.0766542967766405e-16
S1,0.05,Us,5.291990630210613e-10
S1,0.05,theta,6.708778763672701e-09
