state,time_s,particle_count,gas_mass,solid_mass,gas_energy,solid_resolved_energy,solid_granular_energy,solid_energy,mixture_energy,gas_momentum_x,solid_momentum_x,total_momentum_x,gas_momentum_y,solid_momentum_y,total_momentum_y,gas_momentum_z,solid_momentum_z,total_momentum_z,gas_energy_normalized,solid_energy_normalized,mixture_energy_normalized,total_momentum_relative_drift,gas_mass_relative_drift,solid_mass_relative_drift,max_field_relative_l2_vs_L0,mixture_energy_relative_difference_vs_L0
L1,0.035,524288,288.9945972709025,2480.502134423986,698.4962640883662,7656.443265200465,61.481696080920386,7717.924961281386,8416.421225369751,289.11139620119445,2480.3426283681106,2769.454024569305,144.52772765897984,1240.2070434133889,1384.7347710723686,72.24831386680896,620.1275737591181,692.3758876259271,0.7734385335811949,0.9956596905664659,0.9724711743081166,1.380050081116652e-05,3.368923788234728e-06,0.0,5.765704018365792e-09,2.2338561689877873e-12
L1,0.0375,524288,288.9946835493258,2480.502134423986,686.1435542916979,7650.729845624877,61.770667134474735,7712.500512759352,8398.64406705105,289.1248918853849,2480.3274210710338,2769.4523129564186,144.53348508145538,1240.2001010252136,1384.733586106669,72.2482906382066,620.1274418158249,692.3757324540315,0.7597604908455496,0.994959903413308,0.9704171214555883,1.4425799705378575e-05,3.6674716324480114e-06,0.0,5.9377269153391436e-09,2.851726217392398e-12
L1,0.04,524288,288.99476135451965,2480.502134423986,674.1657243275603,7644.7976291973055,61.86430893898947,7706.661938136295,8380.827662463855,289.13503690372755,2480.315791049633,2769.4508279533607,144.53918664491135,1240.1930490895472,1384.7322357344585,72.2481528818136,620.1273131412953,692.3754660231089,0.7464975491245393,0.9942066914513227,0.9683585339126275,1.5002261084833403e-05,3.936699696501857e-06,0.0,6.060784990320622e-09,2.528536250217185e-12
L1,0.0425,524288,288.99483500203314,2480.502134423986,662.5900253497074,7638.416069666532,61.998093803298985,7700.414163469831,8363.004188819537,289.1416090278562,2480.308431654375,2769.4500406822312,144.54311547859572,1240.1882825556759,1384.7313980342715,72.24789862542735,620.1272381402398,692.3751367656671,0.7336798833718199,0.9934006901721772,0.9662991295790027,1.5321253513944627e-05,4.191541005982872e-06,0.0,6.205168975335238e-09,1.387677458078228e-12
L1,0.045,524288,288.99491405083575,2480.502134423986,651.4297667408948,7631.743020188626,62.02229967055101,7693.765319859177,8345.195086600072,289.1451347151239,2480.304327265003,2769.4494619801267,144.5442757085809,1240.186490963505,1384.730766672086,72.24766448177978,620.1271485572779,692.3748130390577,0.721322230945357,0.9925429485375774,0.9642413857844628,1.555861355790938e-05,4.465072309543579e-06,0.0,6.357531682632598e-09,2.59404275957735e-12
L1,0.0475,524288,288.994997724558,2480.502134423986,640.6595880567099,7624.680597007724,62.02801155070363,7686.708608558428,8327.368196615136,289.1454085092289,2480.3036023865207,2769.44901089575,144.54522701120683,1240.1844795369177,1384.7297065481246,72.24743826754087,620.1270125984828,692.3744508660236,0.7093965104566793,0.9916325894675724,0.9621815867114727,1.5808398616951298e-05,4.754607148391931e-06,0.0,6.549016705786314e-09,3.544327735386643e-12
L1,0.05,524288,288.99507703986495,2480.502134423986,630.3229293841817,7617.134113165355,62.11978585275966,7679.253899018115,8309.576828402296,289.14113871102984,2480.3071803535495,2769.448319064579,144.545252675061,1240.1834950653667,1384.7287477404277,72.24721290458196,620.1268363120261,692.374049216608,0.6979508227173987,0.9906708861818567,0.9601258919838447,1.6121610262489983e-05,5.0290606326587004e-06,0.0,6.648166616693633e-09,5.446738777909199e-12
E1,0.0,524288,288.99362367340905,2480.502134423986,903.1050739794033,7751.569170074954,0.0,7751.569170074954,8654.674244054357,288.993623673403,2480.502134424031,2769.4957580974337,144.49681183670896,1240.2510672119802,1384.7478790486891,72.24840591834983,620.1255336064771,692.3739395248269,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
E1,0.0025,524288,288.99362367340905,2480.502134423986,886.4999801157034,7704.801642956841,46.56751126236354,7751.369154219205,8637.869134334907,288.9936809737362,2480.502130171355,2769.4958111450915,144.49679475627696,1240.2510783301075,1384.7478730863845,72.24840266150744,620.1255373775601,692.3739400390675,0.9816133312256435,0.9999741967269644,0.9980582620159281,1.6825267387810692e-08,0.0,0.0,5.749319101754922e-10,2.571219854328031e-13
E1,0.005,524288,288.99362682005085,2480.502134423986,870.4338227506971,7704.290016035864,46.63157335661383,7750.9215893924775,8621.355412143175,288.99413796660934,2480.501975658159,2769.4961136247684,144.4967430868298,1240.2510452392112,1384.747788326041,72.24840127003935,620.12556866334,692.3739699333794,0.9638234219139695,0.9999164581172834,0.9961501922577767,1.1603990210050312e-07,1.088827415025568e-08,0.0,1.4416046169854023e-09,6.952004410162106e-13
