factor,pair,ratio,stage,baseline_state,optimized_state,baseline_manuscript_state,optimized_manuscript_state,baseline_ms,optimized_ms,speedup
1,2,S2_over_T2,bin_post_ms,E2,S2,T2,S2,0.38195198800000002,0.37990400200000002,1.0053907986997199
1,2,S2_over_T2,moments_ms,E2,S2,T2,S2,1.8365439750000001,1.7935519850000001,1.0239703060516532
1,2,S2_over_T2,pressure_post_ms,E2,S2,T2,S2,1.528831955,1.5104,1.0122033600370763
1,2,S2_over_T2,compaction_ms,E2,S2,T2,S2,3.949568035,3.9367679400000002,1.0032514222822084
1,2,S2_over_T2,boundary_ms,E2,S2,T2,S2,0.024576000899999999,0.025088000149999998,0.97959186675148358
1,2,S1_over_T1,total_ms,E1,S1,T1,S1,24.899583849999999,24.44236755,1.0187058925067183
1,2,S1_over_T1,gas_flux_ms,E1,S1,T1,S1,0.32819201050000002,0.36710400900000001,0.89400279608496458
1,2,S1_over_T1,eulerian_coupling_ms,E1,S1,T1,S1,0.099839996699999989,0.109056,0.91549292748679567
1,2,S1_over_T1,injection_ms,E1,S1,T1,S1,0.032767999899999997,0.0336000007,0.97523807194444478
1,2,S1_over_T1,bin_pre_ms,E1,S1,T1,S1,0.37785598599999998,0.019455999099999999,19.421052810389984
1,2,S1_over_T1,pressure_pre_ms,E1,S1,T1,S1,1.54419196,1.476464035,1.0458717065871503
1,2,S1_over_T1,collision_pool_ms,E1,S1,T1,S1,0.80537599299999996,0.72294402099999999,1.1140226208468773
1,2,S1_over_T1,relax_ms,E1,S1,T1,S1,10.397696,10.3900161,1.0007391615110202
1,2,S1_over_T1,track_ms,E1,S1,T1,S1,3.8650881049999999,3.8067199,1.0153329392582837
1,2,S1_over_T1,bin_post_ms,E1,S1,T1,S1,0.373760015,0.37171199900000002,1.0055096849321778
1,2,S1_over_T1,moments_ms,E1,S1,T1,S1,1.572943985,1.561087965,1.0075947161632239
1,2,S1_over_T1,pressure_post_ms,E1,S1,T1,S1,1.52224004,1.5144959650000001,1.005113301837024
1,2,S1_over_T1,compaction_ms,E1,S1,T1,S1,3.9429119850000003,3.9357439300000001,1.0018212706739791
1,2,S1_over_T1,boundary_ms,E1,S1,T1,S1,0.024576000899999999,0.024576000899999999,1
1,3,T2_over_T1,total_ms,E1,E2,T1,T2,24.982527750000003,25.2303362,0.99017815505764062
1,3,T2_over_T1,gas_flux_ms,E1,E2,T1,T2,0.3430400045,0.32716800299999999,1.0485133061743817
1,3,T2_over_T1,eulerian_coupling_ms,E1,E2,T1,T2,0.100863997,0.098336000000000007,1.0257077469085583
1,3,T2_over_T1,injection_ms,E1,E2,T1,T2,0.03273599965,0.03225599975,1.0148809493960886
1,3,T2_over_T1,bin_pre_ms,E1,E2,T1,T2,0.37839999800000002,0.38604798899999998,0.98018901479111198
1,3,T2_over_T1,pressure_pre_ms,E1,E2,T1,T2,1.5447519999999999,1.537024025,1.005027881720977
1,3,T2_over_T1,collision_pool_ms,E1,E2,T1,T2,0.80998399899999995,0.96614402499999996,0.83836775681555342
1,3,T2_over_T1,relax_ms,E1,E2,T1,T2,10.40742395,10.395648,1.0011327769081833
1,3,T2_over_T1,track_ms,E1,E2,T1,T2,3.8604800699999999,3.8103039249999999,1.013168541404476
