factor,initial_target_cell_particles,state,manuscript_state,stage,processes,median_process_time_ms
64,704000,E1,T1,pressure_pre_ms,5,15.027711849999999
64,704000,E1,T1,collision_pool_ms,5,9.5293440800000013
64,704000,E1,T1,relax_ms,5,12.396544499999999
64,704000,E1,T1,track_ms,5,4.2915840149999998
64,704000,E1,T1,bin_post_ms,5,0.45977601400000001
64,704000,E1,T1,moments_ms,5,14.2740483
64,704000,E1,T1,pressure_post_ms,5,14.97292805
64,704000,E1,T1,compaction_ms,5,36.43289755
64,704000,E1,T1,boundary_ms,5,0.024576000899999999
64,704000,E2,T2,total_ms,5,87.647182450000003
64,704000,E2,T2,gas_flux_ms,5,0.35737599450000002
64,704000,E2,T2,eulerian_coupling_ms,5,0.098304003500000001
64,704000,E2,T2,injection_ms,5,0.032767999899999997
64,704000,E2,T2,bin_pre_ms,5,0.47206398799999999
64,704000,E2,T2,pressure_pre_ms,5,15.073279849999999
64,704000,E2,T2,collision_pool_ms,5,1.0926079799999999
64,704000,E2,T2,relax_ms,5,12.39807985
64,704000,E2,T2,track_ms,5,4.2864639750000002
64,704000,E2,T2,bin_post_ms,5,0.46796798699999997
64,704000,E2,T2,moments_ms,5,2.02704
64,704000,E2,T2,pressure_post_ms,5,14.9386239
64,704000,E2,T2,compaction_ms,5,36.429822950000002
64,704000,E2,T2,boundary_ms,5,0.024576000899999999
64,704000,S1,S1,total_ms,5,103.25862100000001
64,704000,S1,S1,gas_flux_ms,5,0.35739199799999999
64,704000,S1,S1,eulerian_coupling_ms,5,0.098304003500000001
64,704000,S1,S1,injection_ms,5,0.032767999899999997
64,704000,S1,S1,bin_pre_ms,5,0.020479999499999998
64,704000,S1,S1,pressure_pre_ms,5,12.819327850000001
64,704000,S1,S1,collision_pool_ms,5,7.3630719200000003
64,704000,S1,S1,relax_ms,5,12.398592000000001
64,704000,S1,S1,track_ms,5,4.2880001050000001
64,704000,S1,S1,bin_post_ms,5,0.45875200599999999
