factor,initial_target_cell_particles,ratio,stage,pairs,median_speedup,ci95_low,ci95_high,classification
1,11000,S2_over_T2,eulerian_coupling_ms,5,1.0003254852179038,0.98969079275619032,1.0257732078848214,inconclusive
1,11000,S2_over_T2,injection_ms,5,1,0.98437499537467965,1.0178926647433983,inconclusive
1,11000,S2_over_T2,bin_pre_ms,5,4.0106380690112333,3.4587154822842807,4.9938401756079127,positive
1,11000,S2_over_T2,pressure_pre_ms,5,1.0443633119540983,1.0361695170955252,1.0518441095000435,positive
1,11000,S2_over_T2,collision_pool_ms,5,1.1145895355339916,1.1105232053145326,1.1336439989226572,positive
1,11000,S2_over_T2,relax_ms,5,1.0000954144111087,0.99522138672091631,1.0132505930292468,inconclusive
1,11000,S2_over_T2,track_ms,5,1.0033351081383961,0.99002790882148195,1.0119351233999478,inconclusive
1,11000,S2_over_T2,bin_post_ms,5,1,1,1.0053907986997199,inconclusive
1,11000,S2_over_T2,moments_ms,5,1.0025553551498245,0.98486121162034457,1.0239703060516532,inconclusive
1,11000,S2_over_T2,pressure_post_ms,5,0.99865227795277034,0.99563021937561869,1.0122033600370766,inconclusive
1,11000,S2_over_T2,compaction_ms,5,1.0023398084899091,0.99869959970385058,1.0072916615433163,inconclusive
1,11000,S2_over_T2,boundary_ms,5,0.97959186675148358,0.96000005765625152,1.0019531005144127,inconclusive
1,11000,S1_over_T1,total_ms,5,1.0187058925067183,1.0010530936198982,1.0254286842283871,positive
1,11000,S1_over_T1,gas_flux_ms,5,1.0450310367478124,0.8940027960849648,1.073717949360002,inconclusive
1,11000,S1_over_T1,eulerian_coupling_ms,5,0.96969703291795994,0.91549292748679567,1.0154639241268337,inconclusive
1,11000,S1_over_T1,injection_ms,5,0.98412697935366278,0.92647056508839787,1.0639798683625303,inconclusive
1,11000,S1_over_T1,bin_pre_ms,5,19.421052810389984,12.947368096613857,19.449013954775523,positive
1,11000,S1_over_T1,pressure_pre_ms,5,1.0458717065871503,1.0322913149964017,1.0494010928471589,positive
1,11000,S1_over_T1,collision_pool_ms,5,1.103375495693544,1.0979705817496135,1.1140226208468775,positive
1,11000,S1_over_T1,relax_ms,5,0.99931077630372456,0.9627210394352701,1.0016261204904926,inconclusive
1,11000,S1_over_T1,track_ms,5,0.99814090306346626,0.98847221504425842,1.0153329392582839,inconclusive
